Country,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,"2016   Inflation, consumer prices (annual %)",Average Inflation 2010 - 2016,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling ,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,# of Resolved Conflict Peace Agreements,AverageTemp,MedianTemp,RangeTemp,HighTemp,LowTemp
Afghanistan,154,3.36,3.288,3.432,2.169452176,4.458101572,0.479,60.7,10.1,3.6,"1,871",1,19,16.533625,18.1,25.964,28.205,2.241
Albania,109,4.655,4.546,4.764,1.282798834,2.25663169,0.764,78,14.2,9.6,"10,252",24,0,14.993875,15.9465,20.381,24.793,4.412
Algeria,38,6.355,6.227,6.483,6.397714109,4.954596442,0.745,75,14.4,7.8,"13,533",-1,6,25.1215,26.362,21.926,34.707,12.781
Angola,141,3.866,3.753,3.979,34.7361593,14.18602705,0.533,52.7,11.4,5,"6,291",-27,17,22.507875,22.518,5.129,24.785,19.656
Argentina,26,6.65,6.56,6.74,10.22387343,10.22387343,0.827,76.5,17.3,9.9,"20,945",12,2,14.457125,13.7915,14.133,22.477,8.344
Armenia,121,4.36,4.266,4.454,-1.271210454,4.231204521,0.743,74.9,12.7,11.3,"8,189",28,22,11.34375,12.855,24.196,21.782,-2.414
Australia,9,7.313,7.241,7.385,1.276990945,2.233575001,0.939,82.5,20.4,13.2,"42,822",19,0,22.142875,21.341,13.928,29.861,15.933
Austria,12,7.119,7.045,7.193,0.891590693,1.851467118,0.893,81.6,15.9,11.3,"43,609",-4,0,8.055125,9.381,21.814,18.728,-3.086
Azerbaijan,81,5.291,5.226,5.356,4.179993538,3.807273626,0.759,70.9,12.7,11.2,"16,413",-12,22,14.173875,14.8345,21.636,24.221,2.585
Bahrain,42,6.218,6.128,6.308,2.798520013,2.134740667,0.824,76.7,14.5,9.4,"37,236",-19,5,27.925375,28.788,19.373,36.922,17.549
Bangladesh,110,4.643,4.56,4.726,5.513525727,7.325515353,0.579,72,10.2,5.2,"3,341",8,1,25.9675,28.0495,12.602,29.524,16.922
Belarus,61,5.802,5.723,5.881,11.83658077,25.99815261,0.796,71.5,15.7,12,"15,629",19,0,8.2665,11.822,26.059,19.07,-6.989
Belgium,18,6.929,6.861,6.997,1.972249752,1.791655292,0.896,81,16.6,11.4,"41,243",1,0,10.060125,10.201,18.805,20.013,1.208
Belize,52,5.956,5.71,6.202,0.774417689,0.774417689,0.706,70.1,12.8,10.5,"7,375",14,0,26.21333333,26.759,4.257,27.969,23.712
Benin,153,3.484,3.404,3.564,-0.93003312,1.578536263,0.485,59.8,10.7,3.5,"1,979",1,0,28.160625,28.159,6.501,31.302,24.801
Bhutan,84,5.196,5.138,5.254,4.377452663,7.273914117,0.607,69.9,12.5,3.1,"7,081",-12,0,13.331375,14.237,15.561,19.016,3.455
Bolivia,59,5.822,5.74,5.904,3.625239368,5.155168354,0.674,68.7,13.8,8.2,"6,155",6,0,20.640875,20.4045,5.044,23.274,18.23
Botswana,137,3.974,3.875,4.073,3.769304598,5.723430374,0.698,64.5,12.6,9.2,"14,663",-33,0,21.82575,20.591,10.913,27.577,16.664
Brazil,17,6.952,6.875,7.029,8.739478523,6.768221731,0.754,74.7,15.2,7.8,"14,145",-1,0,25.348125,25.185,2.037,26.239,24.202
Bulgaria,129,4.217,4.104,4.33,-0.79852306,1.168862551,0.794,74.3,15,10.8,"16,261",13,0,13.411875,15.1925,22.246,23.544,1.298
Burkina Faso,145,3.739,3.647,3.831,-0.247073221,0.971036857,0.402,59,7.7,1.4,"1,537",-8,0,29.3855,29.3415,7.526,32.644,25.118
Burundi,157,2.905,2.732,3.078,5.538485174,8.224612571,0.404,57.1,10.6,3,691,5,0,20.86275,20.7565,1.819,21.836,20.017
Cambodia,140,3.907,3.798,4.016,3.021957401,3.349801168,0.563,68.8,10.9,4.7,"3,095",10,6,28.259625,28.2365,3.937,29.766,25.829
Cameroon,114,4.513,4.417,4.609,0.8657672,2.08606192,0.518,56,10.4,6.1,"2,894",2,2,25.307625,25.3965,3.247,26.75,23.503
Canada,6,7.404,7.335,7.473,1.428759547,1.657659082,0.92,82.2,16.3,13.1,"42,582",12,0,-1.640666667,2.926,34.966,13.333,-21.633
Chad,144,3.763,3.672,3.854,2.288705221,2.288705221,0.396,51.9,7.3,2.3,"1,991",-19,14,28.356,29.261,7.687,31.079,23.392
Chile,24,6.705,6.615,6.795,3.786661771,3.154148986,0.847,82,16.3,9.9,"21,665",16,0,9.877375,9.434,9.45,15.224,5.774
China,83,5.245,5.199,5.291,2,2.777885755,0.738,76,13.5,7.6,"13,345",-7,15,9.295,11.7005,28.619,20.482,-8.137
Colombia,31,6.481,6.384,6.578,7.517452808,3.755691331,0.727,74.2,13.6,7.6,"12,762",-10,112,25.5795,25.4965,0.762,26.038,25.276
Comoros,138,3.956,3.86,4.052,0.275984972,0.275984972,0.497,63.6,11.1,4.8,"1,335",22,8,26.542875,26.9885,3.805,28.221,24.416
Costa Rica,14,7.087,6.999,7.175,-0.004186378,3.654201139,0.776,79.6,14.2,8.7,"14,006",14,1,26.45755556,26.678,1.066,26.91,25.844
Croatia,74,5.488,5.402,5.574,-1.1,1.021748959,0.827,77.5,15.3,11.2,"20,291",14,229,13.589,14.794,21.057,23.809,2.752
Cyprus,69,5.546,5.442,5.65,-1.429166667,0.397038635,0.856,80.3,14.3,11.7,"29,459",4,0,20.349875,20.33,15.677,28.044,12.367
Czech Republic,27,6.596,6.515,6.677,0.639352818,1.342889853,0.878,78.8,16.8,12.3,"28,144",11,0,9.281,10.822,21.749,20.155,-1.594
Denmark,1,7.526,7.46,7.592,0.25,1.358493388,0.925,80.4,19.2,12.7,"44,519",13,0,-14.92725,-16.1215,28.223,-0.9,-29.123
Dominican Republic,89,5.155,5.037,5.273,1.614166072,4.109304509,0.722,73.7,13.2,7.7,"12,756",-13,0,26.29033333,26.965,3.896,28.046,24.15
Ecuador,51,5.976,5.88,6.072,1.724430236,3.591105735,0.739,76.1,14,8.3,"10,536",6,14,22.264125,22.511,1.74,22.983,21.243
Egypt,120,4.362,4.259,4.465,13.81463839,10.31096656,0.691,71.3,13.1,7.1,"10,064",-7,0,24.50525,25.8575,15.879,30.671,14.792
El Salvador,46,6.068,5.967,6.169,0.603938659,1.362556874,0.68,73.3,13.2,6.5,"7,732",-3,15,25.91077778,25.799,2.505,27.336,24.831
Estonia,72,5.517,5.437,5.597,0.149108978,2.032020042,0.865,77,16.5,12.5,"26,362",12,0,6.96175,8.8365,24.818,18.247,-6.571
Ethiopia,115,4.508,4.425,4.591,7.266076144,13.85744212,0.448,64.6,8.4,2.6,"1,523",5,10,24.6315,24.532,2.518,25.74,23.222
Finland,5,7.413,7.351,7.475,0.3569705,1.443541893,0.895,81,17,11.2,"38,868",1,0,4.064125,5.439,26.105,15.937,-10.168
France,32,6.478,6.397,6.559,0.183334861,1.027893984,0.897,82.4,16.3,11.6,"38,085",4,1,13.584625,13.0415,15.432,21.817,6.385
Gabon,134,4.121,4.03,4.212,2.106707128,1.762375854,0.697,64.9,12.6,8.1,"19,044",-46,1,24.8385,25.438,3.532,26.368,22.836
Georgia,126,4.252,4.164,4.34,2.134927139,3.343530356,0.452,60.5,8.9,3.3,"1,541",3,64,10.686625,12.1545,20.04,19.308,-0.732
Germany,16,6.994,6.93,7.058,0.483355422,1.188111049,0.926,81.1,17.1,13.2,"45,000",13,1,9.23525,10.182,20.493,19.762,-0.731
Ghana,124,4.276,4.185,4.367,17.47392384,12.90224031,0.579,61.5,11.5,6.9,"3,839",5,0,27.7175,27.7785,5.215,30.265,25.05
Greece,99,5.033,4.935,5.131,-0.825657581,0.678471038,0.866,81.1,17.2,10.5,"24,808",16,0,17.1535,17.8355,19.658,26.585,6.927
Guatemala,39,6.324,6.213,6.435,4.448441999,4.065178063,0.64,72.1,10.7,6.3,"7,063",-4,19,24.29133333,24.588,3.777,25.704,21.927
Guinea,151,3.607,3.533,3.681,8.129877159,12.84589328,0.414,59.2,8.8,2.6,"1,058",4,1,26.68675,26.666,4.745,29.065,24.32
Haiti,136,4.028,3.893,4.163,13.83374255,7.665307882,0.493,63.1,9.1,5.2,"1,657",9,4,27.03155556,27.425,3.371,28.577,25.206
Honduras,104,4.871,4.75,4.992,2.724612233,4.833229623,0.625,73.3,11.2,6.2,"4,466",11,3,25.73233333,25.834,3.769,27.504,23.735
Hong Kong,75,5.458,5.362,5.554,2.385685885,3.681482521,0.917,84.2,15.7,11.6,"54,265",-2,0,23.690375,24.1485,12.202,28.52,16.318
Hungary,91,5.145,5.056,5.234,0.400742226,2.32842388,0.836,75.3,15.6,12,"23,394",6,0,12.3015,14.394,22.871,22.492,-0.379
Iceland,3,7.501,7.333,7.669,1.694700967,3.403561399,0.921,82.7,19,12.2,"37,065",20,0,2.92025,1.675,11.366,8.849,-2.517
