Country,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,2016   Inflation consumer prices (annual %),Average Inflation 2010 - 2016,Human Development Index (HDI) ,Life expectancy at birth,Expected schooling ,Mean schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,# of Resolved Conflict Peace Agreements,AverageTemp,MedianTemp,RangeTemp,HighTemp,LowTemp
Afghanistan,154.0000,3.3600,3.2880,3.4320,2.1695,4.4581,0.4790,60.7000,10.1000,3.6000,1871.0000,1.0000,19.0000,16.5336,18.1000,25.9640,28.2050,2.2410
Albania,109.0000,4.6550,4.5460,4.7640,1.2828,2.2566,0.7640,78.0000,14.2000,9.6000,10252.0000,24.0000,0.0000,14.9939,15.9465,20.3810,24.7930,4.4120
Algeria,38.0000,6.3550,6.2270,6.4830,6.3977,4.9546,0.7450,75.0000,14.4000,7.8000,13533.0000,-1.0000,6.0000,25.1215,26.3620,21.9260,34.7070,12.7810
Angola,141.0000,3.8660,3.7530,3.9790,34.7362,14.1860,0.5330,52.7000,11.4000,5.0000,6291.0000,-27.0000,17.0000,22.5079,22.5180,5.1290,24.7850,19.6560
Argentina,26.0000,6.6500,6.5600,6.7400,10.2239,10.2239,0.8270,76.5000,17.3000,9.9000,20945.0000,12.0000,2.0000,14.4571,13.7915,14.1330,22.4770,8.3440
Armenia,121.0000,4.3600,4.2660,4.4540,-1.2712,4.2312,0.7430,74.9000,12.7000,11.3000,8189.0000,28.0000,22.0000,11.3438,12.8550,24.1960,21.7820,-2.4140
Australia,9.0000,7.3130,7.2410,7.3850,1.2770,2.2336,0.9390,82.5000,20.4000,13.2000,42822.0000,19.0000,0.0000,22.1429,21.3410,13.9280,29.8610,15.9330
Austria,12.0000,7.1190,7.0450,7.1930,0.8916,1.8515,0.8930,81.6000,15.9000,11.3000,43609.0000,-4.0000,0.0000,8.0551,9.3810,21.8140,18.7280,-3.0860
Azerbaijan,81.0000,5.2910,5.2260,5.3560,4.1800,3.8073,0.7590,70.9000,12.7000,11.2000,16413.0000,-12.0000,22.0000,14.1739,14.8345,21.6360,24.2210,2.5850
Bahrain,42.0000,6.2180,6.1280,6.3080,2.7985,2.1347,0.8240,76.7000,14.5000,9.4000,37236.0000,-19.0000,5.0000,27.9254,28.7880,19.3730,36.9220,17.5490
Bangladesh,110.0000,4.6430,4.5600,4.7260,5.5135,7.3255,0.5790,72.0000,10.2000,5.2000,3341.0000,8.0000,1.0000,25.9675,28.0495,12.6020,29.5240,16.9220
Belarus,61.0000,5.8020,5.7230,5.8810,11.8366,25.9982,0.7960,71.5000,15.7000,12.0000,15629.0000,19.0000,0.0000,8.2665,11.8220,26.0590,19.0700,-6.9890
Belgium,18.0000,6.9290,6.8610,6.9970,1.9722,1.7917,0.8960,81.0000,16.6000,11.4000,41243.0000,1.0000,0.0000,10.0601,10.2010,18.8050,20.0130,1.2080
Belize,52.0000,5.9560,5.7100,6.2020,0.7744,0.7744,0.7060,70.1000,12.8000,10.5000,7375.0000,14.0000,0.0000,26.2133,26.7590,4.2570,27.9690,23.7120
Benin,153.0000,3.4840,3.4040,3.5640,-0.9300,1.5785,0.4850,59.8000,10.7000,3.5000,1979.0000,1.0000,0.0000,28.1606,28.1590,6.5010,31.3020,24.8010
Bhutan,84.0000,5.1960,5.1380,5.2540,4.3775,7.2739,0.6070,69.9000,12.5000,3.1000,7081.0000,-12.0000,0.0000,13.3314,14.2370,15.5610,19.0160,3.4550
Bolivia,59.0000,5.8220,5.7400,5.9040,3.6252,5.1552,0.6740,68.7000,13.8000,8.2000,6155.0000,6.0000,0.0000,20.6409,20.4045,5.0440,23.2740,18.2300
Botswana,137.0000,3.9740,3.8750,4.0730,3.7693,5.7234,0.6980,64.5000,12.6000,9.2000,14663.0000,-33.0000,0.0000,21.8258,20.5910,10.9130,27.5770,16.6640
Brazil,17.0000,6.9520,6.8750,7.0290,8.7395,6.7682,0.7540,74.7000,15.2000,7.8000,14145.0000,-1.0000,0.0000,25.3481,25.1850,2.0370,26.2390,24.2020
Bulgaria,129.0000,4.2170,4.1040,4.3300,-0.7985,1.1689,0.7940,74.3000,15.0000,10.8000,16261.0000,13.0000,0.0000,13.4119,15.1925,22.2460,23.5440,1.2980
Burkina Faso,145.0000,3.7390,3.6470,3.8310,-0.2471,0.9710,0.4020,59.0000,7.7000,1.4000,1537.0000,-8.0000,0.0000,29.3855,29.3415,7.5260,32.6440,25.1180
Burundi,157.0000,2.9050,2.7320,3.0780,5.5385,8.2246,0.4040,57.1000,10.6000,3.0000,691.0000,5.0000,0.0000,20.8628,20.7565,1.8190,21.8360,20.0170
Cambodia,140.0000,3.9070,3.7980,4.0160,3.0220,3.3498,0.5630,68.8000,10.9000,4.7000,3095.0000,10.0000,6.0000,28.2596,28.2365,3.9370,29.7660,25.8290
Cameroon,114.0000,4.5130,4.4170,4.6090,0.8658,2.0861,0.5180,56.0000,10.4000,6.1000,2894.0000,2.0000,2.0000,25.3076,25.3965,3.2470,26.7500,23.5030
Canada,6.0000,7.4040,7.3350,7.4730,1.4288,1.6577,0.9200,82.2000,16.3000,13.1000,42582.0000,12.0000,0.0000,-1.6407,2.9260,34.9660,13.3330,-21.6330
Chad,144.0000,3.7630,3.6720,3.8540,2.2887,2.2887,0.3960,51.9000,7.3000,2.3000,1991.0000,-19.0000,14.0000,28.3560,29.2610,7.6870,31.0790,23.3920
