country,happyra,happysc,2016inflat,avginflat,HDI,expectSchool,meanschool,GNIcap,PA,avgtemp,rangetemp
Afghanistan,154,3.36,2.1695,4.4581,0.479,10.1,3.6,1871,19,16.5336,25.964
Albania,109,4.655,1.2828,2.2566,0.764,14.2,9.6,10252,0,14.9939,20.381
Algeria,38,6.355,6.3977,4.9546,0.745,14.4,7.8,13533,6,25.1215,21.926
Angola,141,3.866,34.7362,14.186,0.533,11.4,5,6291,17,22.5079,5.129
Argentina,26,6.65,10.2239,10.2239,0.827,17.3,9.9,20945,2,14.4571,14.133
Armenia,121,4.36,-1.2712,4.2312,0.743,12.7,11.3,8189,22,11.3438,24.196
Australia,9,7.313,1.277,2.2336,0.939,20.4,13.2,42822,0,22.1429,13.928
Austria,12,7.119,0.8916,1.8515,0.893,15.9,11.3,43609,0,8.0551,21.814
Azerbaijan,81,5.291,4.18,3.8073,0.759,12.7,11.2,16413,22,14.1739,21.636
Bahrain,42,6.218,2.7985,2.1347,0.824,14.5,9.4,37236,5,27.9254,19.373
Bangladesh,110,4.643,5.5135,7.3255,0.579,10.2,5.2,3341,1,25.9675,12.602
Belarus,61,5.802,11.8366,25.9982,0.796,15.7,12,15629,0,8.2665,26.059
Belgium,18,6.929,1.9722,1.7917,0.896,16.6,11.4,41243,0,10.0601,18.805
Belize,52,5.956,0.7744,0.7744,0.706,12.8,10.5,7375,0,26.2133,4.257
Benin,153,3.484,-0.93,1.5785,0.485,10.7,3.5,1979,0,28.1606,6.501
Bhutan,84,5.196,4.3775,7.2739,0.607,12.5,3.1,7081,0,13.3314,15.561
Bolivia,59,5.822,3.6252,5.1552,0.674,13.8,8.2,6155,0,20.6409,5.044
Botswana,137,3.974,3.7693,5.7234,0.698,12.6,9.2,14663,0,21.8258,10.913
Brazil,17,6.952,8.7395,6.7682,0.754,15.2,7.8,14145,0,25.3481,2.037
Bulgaria,129,4.217,-0.7985,1.1689,0.794,15,10.8,16261,0,13.4119,22.246
Burkina Faso,145,3.739,-0.2471,0.971,0.402,7.7,1.4,1537,0,29.3855,7.526
Burundi,157,2.905,5.5385,8.2246,0.404,10.6,3,691,0,20.8628,1.819
Cambodia,140,3.907,3.022,3.3498,0.563,10.9,4.7,3095,6,28.2596,3.937
Cameroon,114,4.513,0.8658,2.0861,0.518,10.4,6.1,2894,2,25.3076,3.247
Canada,6,7.404,1.4288,1.6577,0.92,16.3,13.1,42582,0,-1.6407,34.966
Chad,144,3.763,2.2887,2.2887,0.396,7.3,2.3,1991,14,28.356,7.687
